Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Distance,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
607,TOYOTA,Camry,2,Sedan,Yes,Hybrid,2.5,39552.0,4,Automatic,Front,04,Left wheel,Black,12,251
528,FORD,Fiesta,7,Sedan,No,Petrol,1.6,107738.0,4,Tiptronic,Front,04,Left wheel,Blue,12,8311
475,CHEVROLET,Cruze,9,Sedan,Yes,Petrol,1.4,74000.0,4,Automatic,Front,04,Left wheel,Silver,8,15994
0,OPEL,Astra,21,Hatchback,No,Petrol,1.6,215000.0,4,Automatic,Front,02,Left wheel,Silver,0,7213
761,TOYOTA,Prius,11,Sedan,Yes,Hybrid,1.8,368000.0,4,Variator,Front,04,Left wheel,Grey,11,13172
0,MERCEDES-BENZ,311,23,Goods wagon,No,Diesel,2.8,0.0,6,Manual,Rear,02,Left wheel,Blue,2,15994
833,CHEVROLET,Captiva,6,Jeep,Yes,Diesel,2.2,69320.0,4,Automatic,Front,04,Left wheel,Silver,4,27174
1750,TOYOTA,Highlander,13,Jeep,Yes,Hybrid,3.3,0.0,6,Automatic,4x4,04,Left wheel,Silver,12,314
503,HONDA,Civic,9,Sedan,Yes,Hybrid,1.5,142000.0,4,Automatic,Front,04,Left wheel,White,8,14113
777,TOYOTA,Camry SE,7,Sedan,Yes,Petrol,2.5,29800.0,4,Automatic,Front,04,Left wheel,White,6,22580
0,HONDA,FIT,15,Hatchback,No,Petrol,1.3,163000.0,4,Variator,Front,04,Right-hand drive,Silver,2,8311
626,KIA,Cerato,6,Sedan,Yes,Petrol,1.6,41250.0,4,Automatic,Front,04,Left wheel,Black,4,20918
781,TOYOTA,Camry,9,Sedan,Yes,Hybrid,2.5,214098.0,4,Automatic,Front,04,Left wheel,Silver,12,4077
0,MERCEDES-BENZ,E 320,17,Sedan,Yes,Petrol,3.2,130000.0,6,Tiptronic,Rear,04,Right-hand drive,Silver,8,16308
1363,MERCEDES-BENZ,ML 350,9,Jeep,Yes,Diesel,4.6,180659.0,8,Automatic,4x4,04,Left wheel,Black,12,1725
87,HYUNDAI,Elantra,5,Sedan,Yes,LPG,0.0,65004.0,4,Automatic,Front,04,Left wheel,White,4,27356
642,AUDI,Q5,9,Jeep,Yes,Petrol,2.0,340106.0,4,Automatic,4x4,04,Left wheel,White,0,470
1399,LEXUS,RX 350,11,Jeep,Yes,Petrol,3.5,138070.0,6,Automatic,4x4,04,Left wheel,Black,12,470
1104,BMW,X5,6,Jeep,Yes,Petrol,3.0,80000.0,6,Tiptronic,4x4,04,Left wheel,Blue,12,82166
1832,MERCEDES-BENZ,Vito 2.2,16,Minivan,No,Diesel,2.2,215000.0,4,Manual,Rear,04,Left wheel,Blue,6,10976
640,CHEVROLET,Cruze,8,Sedan,Yes,Diesel,2.0,163855.0,4,Automatic,Front,04,Left wheel,White,4,18519
988,TOYOTA,Prius,14,Hatchback,No,Hybrid,1.5,85000.0,4,Automatic,Front,04,Left wheel,Golden,10,9408
574,HONDA,Insight,11,Hatchback,Yes,Hybrid,1.3,187312.0,4,Automatic,Front,04,Left wheel,Blue,0,1098
585,CHEVROLET,Cruze,8,Sedan,Yes,Petrol,1.8,137538.0,4,Automatic,Front,04,Left wheel,Black,4,13877
1273,LEXUS,RX 350,6,Jeep,Yes,Petrol,3.5,71939.0,6,Automatic,4x4,04,Left wheel,Black,12,3293
382,FORD,Fusion,6,Sedan,No,Hybrid,2.0,84800.0,4,Automatic,Front,04,Left wheel,Silver,12,23521
707,HYUNDAI,Sonata,10,Sedan,Yes,LPG,2.0,85419.0,4,Automatic,Front,04,Left wheel,White,4,7056
730,SSANGYONG,Actyon,5,Jeep,Yes,Diesel,1.6,40598.0,4,Automatic,Front,04,Left wheel,White,4,21790
0,VOLKSWAGEN,Touareg,17,Jeep,Yes,CNG,3.2,140000.0,6,Automatic,4x4,04,Left wheel,Silver,8,7840
1325,TOYOTA,Camry,2,Sedan,Yes,Petrol,2.5,7000.0,4,Automatic,Front,04,Left wheel,Black,10,65858
687,HYUNDAI,Elantra,11,Sedan,Yes,Petrol,1.6,132967.0,4,Automatic,Front,04,Left wheel,Grey,4,13476
0,TOYOTA,Camry,8,Sedan,No,Hybrid,2.5,134700.0,4,Variator,Front,04,Left wheel,Black,12,25089
1016,CHEVROLET,Orlando,4,Jeep,Yes,Petrol,2.0,48432.0,4,Automatic,Front,04,Left wheel,Black,4,22266
397,LEXUS,CT 200h,5,Hatchback,Yes,Hybrid,1.8,71904.0,4,Automatic,Front,04,Left wheel,White,0,6743
0,NISSAN,Note,16,Hatchback,No,Petrol,1.5,156000.0,4,Automatic,Front,04,Right-hand drive,Green,7,6272
0,FORD,Fiesta,23,Sedan,No,Petrol,1.5,11580.0,4,Manual,Front,>5,Left wheel,Blue,2,4077
781,TOYOTA,Camry,9,Sedan,Yes,Hybrid,2.5,314373.0,4,Automatic,Front,04,Left wheel,Grey,12,392
0,MITSUBISHI,Pajero IO,21,Jeep,No,Petrol,1.8,10000.0,4,Automatic,Front,02,Left wheel,Red,12,5645
0,MERCEDES-BENZ,E 200,21,Goods wagon,Yes,LPG,2.0,0.0,4,Manual,Rear,04,Left wheel,Blue,8,7840
919,BMW,535,9,Sedan,Yes,Petrol,3.0,129834.0,6,Automatic,Rear,04,Left wheel,Blue,12,1646
0,NISSAN,Elgrand,18,Minivan,Yes,LPG,3.0,185000.0,6,Tiptronic,4x4,04,Right-hand drive,Golden,12,12544
584,HYUNDAI,Elantra,7,Sedan,Yes,Petrol,1.8,149000.0,4,Tiptronic,Front,04,Left wheel,Grey,10,15681
2002,HYUNDAI,Genesis,13,Sedan,Yes,Petrol,3.8,136192.0,4,Automatic,Front,04,Left wheel,Black,4,10349
779,TOYOTA,Camry,8,Sedan,Yes,Hybrid,2.5,225510.0,4,Automatic,Front,04,Left wheel,White,12,941
891,FORD,Fusion,5,Sedan,Yes,Petrol,2.0,50195.0,4,Automatic,Front,04,Left wheel,Grey,12,549
1017,HYUNDAI,Sonata,4,Sedan,Yes,Petrol,2.0,13148.0,4,Automatic,Front,04,Left wheel,Black,4,42987
1714,MERCEDES-BENZ,GLE 350,4,Jeep,Yes,Petrol,3.5,53070.0,6,Automatic,Rear,04,Left wheel,Blue,12,862
765,HYUNDAI,Sonata,6,Sedan,Yes,LPG,2.0,669145.0,4,Automatic,Front,04,Left wheel,White,4,10976
503,TOYOTA,Prius C,9,Hatchback,No,Hybrid,1.5,99000.0,4,Automatic,Front,04,Left wheel,White,4,5645
730,CHEVROLET,Orlando,5,Jeep,Yes,Diesel,1.6,51287.0,4,Automatic,Front,04,Left wheel,Grey,4,27093
585,TOYOTA,Prius,8,Sedan,Yes,Hybrid,1.8,268800.0,4,Automatic,Front,04,Left wheel,Black,10,17719
777,SUBARU,Forester,7,Jeep,No,Petrol,2.5,145000.0,4,Variator,4x4,04,Left wheel,White,7,19757
761,TOYOTA,Prius,11,Sedan,Yes,Hybrid,1.8,319301.0,4,Automatic,Front,04,Left wheel,White,12,4704
1598,MERCEDES-BENZ,ML 350,13,Jeep,Yes,Diesel,3.0,213998.0,6,Automatic,4x4,04,Left wheel,Silver,12,282
765,CHEVROLET,Captiva,6,Jeep,Yes,Diesel,2.0,30000.0,4,Automatic,Front,04,Left wheel,Silver,4,23678
0,TOYOTA,Land Cruiser Prado,2,Jeep,No,Diesel,3.0,33000.0,6,Automatic,4x4,04,Left wheel,White,12,250
639,HYUNDAI,Santa FE,7,Jeep,Yes,Diesel,2.0,120871.0,4,Automatic,Front,04,Left wheel,Silver,4,40983
1756,HYUNDAI,Genesis,12,Coupe,Yes,Petrol,3.8,187143.0,4,Automatic,Front,04,Left wheel,White,4,13463
1202,KIA,Sorento,4,Jeep,Yes,Petrol,2.4,63803.0,4,Automatic,Front,04,Left wheel,White,12,5018
400,CHEVROLET,Volt,3,Sedan,Yes,Hybrid,1.5,43128.0,4,Automatic,Front,04,Left wheel,Silver,12,941
777,TOYOTA,Camry,7,Sedan,Yes,Petrol,2.5,254230.0,4,Automatic,Front,04,Left wheel,Black,12,1098
0,FORD,Fiesta,9,Hatchback,No,Petrol,1.6,100300.0,4,Automatic,Front,04,Left wheel,Black,2,13485
779,TOYOTA,Camry,8,Sedan,Yes,Petrol,2.5,78670.0,4,Automatic,Front,04,Left wheel,Silver,12,392
1202,HYUNDAI,Santa FE,4,Jeep,No,Petrol,2.4,79309.0,4,Automatic,Front,04,Left wheel,Black,7,37633
595,TOYOTA,Aqua,6,Hatchback,Yes,Petrol,1.5,43578.0,4,Automatic,Front,04,Left wheel,Silver,4,39615
779,TOYOTA,Camry,8,Sedan,Yes,Hybrid,2.5,190549.0,4,Automatic,Front,04,Left wheel,Black,12,5018
333,FORD,Fusion,7,Sedan,Yes,Hybrid,2.0,186048.0,4,Automatic,Front,04,Left wheel,Black,0,157
1273,SSANGYONG,REXTON,12,Jeep,Yes,Diesel,2.7,60227.0,4,Automatic,Front,04,Left wheel,Silver,4,9252
779,TOYOTA,Camry,8,Sedan,Yes,Petrol,2.5,78082.0,4,Tiptronic,Front,04,Left wheel,Black,12,21953
1493,FORD,F150,5,Sedan,Yes,Petrol,3.5,30573.0,4,Automatic,Front,04,Left wheel,White,4,132971
289,FORD,Escape,13,Sedan,Yes,Hybrid,0.4,209843.0,4,Automatic,Front,04,Left wheel,Grey,0,188
0,BMW,525,17,Sedan,Yes,Petrol,2.5,250000.0,6,Automatic,Rear,04,Left wheel,Grey,4,10349
528,HYUNDAI,Elantra,7,Sedan,Yes,Diesel,1.6,142495.0,4,Automatic,Front,04,Left wheel,White,4,19130
456,TOYOTA,Camry,6,Sedan,Yes,Hybrid,2.5,14004.0,4,Automatic,Front,04,Left wheel,Black,8,21326
0,BMW,535 Twinturbo,9,Sedan,Yes,Petrol,3.0,176480.0,4,Tiptronic,Rear,04,Left wheel,Black,12,40456
1266,TOYOTA,Aqua,7,Hatchback,No,Hybrid,1.5,134800.0,4,Variator,Front,04,Right-hand drive,Silver,2,10349
0,HONDA,Insight,11,Hatchback,No,Hybrid,1.3,112000.0,4,Automatic,Front,04,Left wheel,Silver,4,13799
0,TOYOTA,Prius,13,Hatchback,Yes,Hybrid,1.5,135000.0,4,Automatic,Front,04,Left wheel,Beige,6,50
0,MERCEDES-BENZ,416,21,Microbus,No,Diesel,2.7,333333.0,5,Manual,Rear,04,Left wheel,Green,2,22894
1091,TOYOTA,Camry,5,Sedan,Yes,Petrol,2.5,54400.0,4,Automatic,Front,04,Left wheel,Black,8,31361
0,MITSUBISHI,Pajero,26,Jeep,No,Diesel,2.5,1958.0,4,Automatic,4x4,04,Left wheel,Blue,2,7213
1017,HYUNDAI,Elantra,4,Sedan,Yes,Petrol,2.0,115974.0,4,Automatic,Front,04,Left wheel,White,12,4547
746,TOYOTA,Prius,12,Sedan,Yes,Hybrid,1.5,142426.0,4,Automatic,Front,04,Left wheel,White,12,1882
831,SSANGYONG,Actyon,4,Jeep,Yes,Diesel,1.6,33216.0,4,Automatic,Front,04,Left wheel,Blue,4,41811
1018,MERCEDES-BENZ,ML 350,10,Jeep,Yes,Diesel,3.0,74500.0,6,Tiptronic,4x4,04,Left wheel,Black,12,39201
891,HYUNDAI,Tucson,5,Jeep,Yes,Diesel,2.0,136027.0,4,Automatic,Front,04,Left wheel,Black,4,37000
0,MERCEDES-BENZ,E 320,22,Sedan,Yes,CNG,3.5,0.0,6,Automatic,4x4,04,Left wheel,Black,2,11000
1091,TOYOTA,Camry,5,Sedan,Yes,Petrol,2.5,70066.0,4,Automatic,Front,04,Left wheel,White,12,10349
0,BMW,328,8,Coupe,Yes,Petrol,3.0,98000.0,8,Automatic,Rear,02,Left wheel,White,12,29793
0,OPEL,Vectra,23,Sedan,No,Petrol,1.6,195256.0,4,Automatic,Front,04,Left wheel,Blue,4,6586
0,TOYOTA,Avensis,17,Sedan,No,Petrol,2.0,138643.0,4,Automatic,Front,04,Right-hand drive,Silver,8,10036
382,HYUNDAI,Sonata Hibrid,7,Sedan,Yes,Hybrid,2.4,76000.0,4,Automatic,Front,04,Left wheel,Black,7,22894
0,FORD,Fiesta,6,Sedan,No,Petrol,1.6,108000.0,4,Tiptronic,Front,04,Left wheel,Black,8,15053
707,HYUNDAI,Sonata,10,Sedan,Yes,LPG,2.0,61208.0,4,Automatic,Front,04,Left wheel,White,4,7056
730,HYUNDAI,Elantra,5,Sedan,Yes,Petrol,1.6,63276.0,4,Automatic,Front,04,Left wheel,White,4,25889
1172,MERCEDES-BENZ,E 350,10,Sedan,Yes,Diesel,3.5,119379.0,6,Automatic,4x4,04,Left wheel,Silver,12,16621
531,HYUNDAI,Elantra,9,Sedan,Yes,Petrol,1.6,104997.0,4,Automatic,Front,04,Left wheel,White,4,20005
738,CHEVROLET,Cruze,4,Sedan,No,Petrol,1.4,46800.0,4,Automatic,Front,04,Left wheel,Black,6,22894
0,TOYOTA,Prius s,8,Sedan,No,Hybrid,1.8,65000.0,4,Variator,Front,04,Right-hand drive,Silver,8,19130
1285,CHEVROLET,Captiva,14,Jeep,Yes,Diesel,2.0,52699.0,4,Automatic,Front,04,Left wheel,Silver,4,4359
528,KIA,RIO lX,7,Sedan,No,Petrol,1.6,76800.0,4,Automatic,Front,04,Left wheel,Black,4,14740
880,SSANGYONG,Actyon,3,Jeep,Yes,Diesel,1.6,200401.0,4,Automatic,Front,04,Left wheel,Blue,4,43868
1058,LEXUS,RX 350,9,Jeep,Yes,Petrol,3.5,170000.0,6,Tiptronic,4x4,04,Left wheel,Black,12,47000
777,TOYOTA,Camry,7,Sedan,No,Petrol,2.5,1440000.0,4,Automatic,Front,04,Left wheel,Silver,0,15994
0,JEEP,Grand Cherokee,24,Jeep,Yes,Petrol,4.0,0.0,6,Automatic,4x4,04,Left wheel,Red,2,3450
2690,INFINITI,QX80,4,Jeep,Yes,Petrol,5.6,54854.0,8,Automatic,Rear,04,Left wheel,Silver,12,17562
1537,TOYOTA,Highlander,12,Jeep,Yes,Hybrid,3.3,472304.0,6,Automatic,4x4,04,Left wheel,White,12,784
0,TOYOTA,Will Vs,19,Hatchback,No,Petrol,1.8,150000.0,4,Automatic,Front,04,Right-hand drive,Silver,4,2195
779,SUBARU,Forester,8,Jeep,Yes,Petrol,2.5,263459.0,4,Automatic,4x4,04,Left wheel,Blue,0,7527
0,HONDA,FIT,14,Hatchback,No,Petrol,1.3,188000.0,4,Automatic,Front,04,Right-hand drive,Silver,7,8781
0,TOYOTA,Prius BLUG-IN,9,Hatchback,No,Plug-in Hybrid,1.8,108773.0,4,Automatic,Front,04,Left wheel,Grey,10,21012
836,HYUNDAI,Tucson,11,Jeep,Yes,Diesel,2.0,166320.0,4,Automatic,Front,04,Left wheel,Black,4,22649
640,HYUNDAI,Santa FE,8,Jeep,Yes,Diesel,2.0,95000.0,4,Automatic,Front,04,Left wheel,Black,4,40983
1099,SSANGYONG,REXTON,11,Jeep,Yes,Diesel,2.7,181385.0,4,Automatic,Front,04,Left wheel,Silver,4,19416
2455,LEXUS,GX 470,13,Jeep,Yes,Petrol,4.7,0.0,8,Automatic,4x4,04,Left wheel,White,0,549
1832,MERCEDES-BENZ,Sprinter,16,Microbus,No,Diesel,2.2,183000.0,4,Manual,Rear,02,Left wheel,White,2,16935
584,HYUNDAI,Elantra,7,Sedan,No,Petrol,1.8,95000.0,4,Automatic,Front,04,Left wheel,Blue,0,15681
0,SUBARU,Outback,18,Jeep,No,Petrol,2.5,270000.0,4,Tiptronic,4x4,04,Right-hand drive,Black,12,9408
0,TOYOTA,Camry,14,Sedan,No,Hybrid,2.4,215000.0,4,Automatic,Front,04,Left wheel,Silver,4,16621
751,HYUNDAI,Sonata,8,Sedan,Yes,Petrol,2.4,191848.0,4,Automatic,Front,04,Left wheel,Black,12,2979
642,CHEVROLET,Orlando,9,Jeep,Yes,Diesel,2.0,132043.0,4,Automatic,Front,04,Left wheel,White,4,23207
1118,OPEL,Astra,16,Hatchback,No,Diesel,1.3,18900.0,4,Manual,Front,04,Left wheel,Black,8,12858
0,KIA,Optima,8,Sedan,No,Petrol,2.4,152480.0,6,Tiptronic,Front,04,Left wheel,Silver,6,17249
988,TOYOTA,Prius,14,Sedan,No,Hybrid,1.5,453000.0,4,Variator,Front,04,Left wheel,White,4,7997
0,TOYOTA,Vitz,19,Sedan,No,Petrol,1.3,100000.0,4,Automatic,Front,04,Left wheel,Silver,2,60
761,TOYOTA,Prius,11,Hatchback,No,Hybrid,1.8,136000.0,4,Variator,Front,04,Left wheel,Silver,8,12541
0,BMW,530,17,Sedan,Yes,Petrol,3.0,416000.0,6,Manual,Rear,04,Left wheel,Black,6,14113
1077,HYUNDAI,Tucson,2,Jeep,Yes,Diesel,2.0,14000.0,4,Automatic,Front,04,Left wheel,Grey,4,59006
915,AUDI,Q7,7,Jeep,Yes,Diesel,3.0,98803.0,6,Automatic,4x4,04,Left wheel,Grey,12,8467
394,TOYOTA,Camry,7,Sedan,Yes,Hybrid,2.5,0.0,4,Automatic,Front,04,Left wheel,Black,12,10349
0,NISSAN,Presage RIDER,18,Minivan,No,Petrol,2.5,190000.0,4,Automatic,Front,04,Right-hand drive,White,2,7527
583,HYUNDAI,Elantra,10,Sedan,Yes,Petrol,1.6,94479.0,4,Automatic,Front,04,Left wheel,Red,4,20005
1267,TOYOTA,Aqua,8,Sedan,No,Hybrid,1.5,121840.0,4,Tiptronic,Front,04,Right-hand drive,Brown,4,12388
777,TOYOTA,RAV 4,7,Jeep,Yes,Petrol,2.5,168661.0,4,Automatic,Front,04,Left wheel,White,12,392
751,HYUNDAI,Sonata,8,Sedan,Yes,Petrol,2.4,52528.0,4,Automatic,Front,04,Left wheel,Blue,0,15053
919,BMW,X5,9,Jeep,Yes,Petrol,3.0,133342.0,6,Automatic,4x4,04,Left wheel,Black,12,862
639,HYUNDAI,Tucson,7,Jeep,Yes,Diesel,2.0,191980.0,4,Automatic,Front,04,Left wheel,White,4,25264
831,TOYOTA,Yaris IA,3,Sedan,Yes,Petrol,1.5,20549.0,4,Automatic,Front,04,Left wheel,Grey,10,21012
5332,MERCEDES-BENZ,E 300 AVANTGARDE-LTD,14,Universal,Yes,Petrol,3.0,75000.0,8,Tiptronic,Rear,04,Right-hand drive,White,12,14113
753,HYUNDAI,Sonata,9,Sedan,Yes,Hybrid,2.4,259934.0,4,Automatic,Front,04,Left wheel,Red,0,4077
1076,HYUNDAI,Santa FE,1,Jeep,Yes,Diesel,2.0,9146.0,4,Automatic,Front,04,Left wheel,White,4,96749
639,BMW,528,7,Sedan,Yes,Petrol,2.0,156000.0,4,Tiptronic,Rear,04,Left wheel,White,12,42337
0,BMW,X5,15,Jeep,Yes,Petrol,4.4,90000.0,8,Tiptronic,4x4,04,Left wheel,Black,8,130
0,HONDA,FIT,9,Sedan,No,Petrol,1.3,114000.0,4,Automatic,Front,04,Right-hand drive,White,4,10976
586,TOYOTA,Prius,9,Hatchback,No,Petrol,1.8,158302.0,4,Automatic,Front,04,Left wheel,Blue,6,16621
911,HYUNDAI,Santa FE,11,Jeep,Yes,Diesel,2.2,115505.0,4,Automatic,Front,04,Left wheel,White,4,23734
531,HYUNDAI,Accent,9,Hatchback,Yes,Petrol,1.6,104509.0,4,Automatic,Front,04,Left wheel,Blue,12,1725
585,LEXUS,CT 200h,8,Hatchback,Yes,Hybrid,1.8,0.0,4,Automatic,Front,04,Left wheel,Red,0,1019
0,BMW,X5,17,Jeep,Yes,Petrol,4.4,224000.0,8,Tiptronic,4x4,04,Left wheel,Black,6,15681
919,MERCEDES-BENZ,ML 350,9,Jeep,Yes,Diesel,3.0,221312.0,6,Automatic,4x4,04,Left wheel,Blue,12,157
777,HYUNDAI,H1,7,Minivan,Yes,Diesel,2.5,128000.0,4,Automatic,Front,04,Left wheel,Grey,4,24433
765,HYUNDAI,Sonata,6,Sedan,Yes,LPG,2.0,486563.0,4,Automatic,Front,04,Left wheel,Orange,4,9722
0,MERCEDES-BENZ,E 200,20,Sedan,No,Petrol,2.0,11111.0,4,Automatic,Rear,04,Right-hand drive,Blue,6,3000
1399,MERCEDES-BENZ,E 350,11,Sedan,Yes,Petrol,3.5,205968.0,6,Automatic,4x4,04,Left wheel,White,12,1646
1514,MERCEDES-BENZ,GL 450,10,Jeep,Yes,Petrol,4.6,163298.0,8,Automatic,4x4,04,Left wheel,White,12,627
640,SSANGYONG,REXTON,8,Jeep,Yes,Diesel,2.0,95430.0,4,Automatic,Front,04,Left wheel,Silver,4,34419
1646,LEXUS,GX 460,6,Jeep,Yes,Petrol,4.6,102885.0,8,Automatic,4x4,04,Left wheel,Black,12,784
0,BMW,X5,17,Jeep,Yes,Diesel,3.0,250000.0,8,Tiptronic,4x4,04,Left wheel,Blue,0,16935
1714,MERCEDES-BENZ,GLE 350,4,Jeep,Yes,Petrol,3.5,59331.0,6,Automatic,Rear,04,Left wheel,Black,0,4704
1018,MERCEDES-BENZ,E 350,10,Sedan,Yes,Diesel,3.0,273186.0,6,Automatic,Rear,04,Left wheel,White,12,9879
1083,CHEVROLET,Camaro,8,Coupe,Yes,Petrol,3.6,134400.0,6,Manual,Rear,02,Left wheel,Grey,8,29793
707,MITSUBISHI,Outlander,10,Jeep,No,Petrol,2.0,112000.0,4,Tiptronic,Front,04,Left wheel,Grey,10,17249
1266,TOYOTA,Aqua,7,Hatchback,No,Hybrid,1.5,73000.0,4,Variator,Front,04,Right-hand drive,White,4,10349
640,HYUNDAI,Tucson,8,Jeep,Yes,Diesel,2.0,166762.0,4,Automatic,Front,04,Left wheel,White,4,23932
777,FORD,Fusion,7,Sedan,Yes,Petrol,2.5,284880.0,4,Automatic,Front,04,Left wheel,Blue,12,1098
0,HYUNDAI,Tucson,15,Jeep,Yes,Petrol,2.7,160000.0,6,Tiptronic,4x4,04,Left wheel,Black,8,13172
0,HYUNDAI,Veloster,6,Sedan,Yes,Petrol,1.6,59000.0,4,Tiptronic,Front,02,Left wheel,Silver,8,25089
0,OPEL,Astra,22,Goods wagon,No,Petrol,1.6,1650.0,4,Manual,Front,04,Left wheel,Red,4,6272
0,MAZDA,Demio,19,Hatchback,No,LPG,1.5,11000.0,4,Tiptronic,Front,04,Right-hand drive,Blue,4,5959
810,TOYOTA,Prius,5,Hatchback,No,Petrol,1.8,31000.0,4,Automatic,Front,04,Left wheel,Grey,8,28539
915,AUDI,A7,7,Hatchback,Yes,Petrol,3.0,140507.0,6,Automatic,4x4,04,Left wheel,Silver,0,3058
1055,MERCEDES-BENZ,E 350,8,Sedan,Yes,Petrol,3.5,220696.0,6,Automatic,4x4,04,Left wheel,Black,12,470
919,MERCEDES-BENZ,ML 350,9,Jeep,Yes,Diesel,3.0,271701.0,6,Automatic,4x4,04,Left wheel,White,12,26657
980,NISSAN,Sentra,3,Sedan,Yes,Petrol,1.8,11469.0,4,Automatic,Front,04,Left wheel,Black,12,1490
843,TOYOTA,Prius,13,Sedan,No,Hybrid,1.5,240000.0,4,Automatic,Front,04,Left wheel,Grey,10,9722
723,KIA,Cerato,5,Sedan,Yes,Diesel,1.6,28647.0,4,Automatic,Front,04,Left wheel,Silver,4,18660
1807,CADILLAC,Escalade,9,Jeep,Yes,Petrol,6.2,137210.0,8,Automatic,Rear,04,Left wheel,Black,12,19444
781,TOYOTA,Camry,9,Sedan,Yes,Hybrid,2.5,119765.0,4,Automatic,Front,04,Left wheel,Red,12,1568
836,SSANGYONG,Actyon,11,Sedan,Yes,Diesel,2.0,199868.0,4,Automatic,Front,04,Left wheel,Silver,4,12306
730,SSANGYONG,Actyon,5,Jeep,Yes,Petrol,1.6,77000.0,4,Automatic,Front,04,Left wheel,Black,4,41281
642,HYUNDAI,Tucson,9,Jeep,Yes,Diesel,2.0,120950.0,4,Automatic,Front,04,Left wheel,Silver,4,28830
645,TOYOTA,Prius,10,Sedan,Yes,Hybrid,1.8,178000.0,4,Variator,Front,04,Left wheel,Grey,6,18817
0,BMW,328,10,Coupe,Yes,Petrol,3.0,220763.0,6,Tiptronic,4x4,02,Left wheel,Black,15,21326
0,HUMMER,H2,17,Jeep,Yes,Petrol,6.0,100070.0,8,Automatic,4x4,04,Left wheel,Black,6,62722
761,TOYOTA,Prius,11,Hatchback,No,Hybrid,1.8,135797.0,4,Automatic,Front,04,Left wheel,Red,0,16308
0,BMW,550 GT,12,Hatchback,Yes,Petrol,4.4,167000.0,6,Tiptronic,Rear,>5,Left wheel,Black,9,49550
781,TOYOTA,Camry,9,Sedan,No,Hybrid,2.5,214098.0,4,Automatic,Front,04,Left wheel,Silver,0,23521
0,TOYOTA,Prius,13,Sedan,No,Hybrid,1.5,173000.0,4,Variator,Front,04,Left wheel,Blue,8,11290
0,OPEL,Astra,22,Hatchback,No,Petrol,1.6,19066.0,4,Manual,Front,04,Left wheel,Blue,2,7683
1869,JEEP,Grand Cherokee,2,Sedan,Yes,Petrol,3.6,14096.0,6,Automatic,Rear,04,Left wheel,White,12,23834
0,BMW,528,28,Sedan,Yes,Petrol,2.8,111000.0,6,Manual,Rear,04,Left wheel,White,1,3000
639,HYUNDAI,Sonata,7,Sedan,Yes,LPG,2.0,362454.0,4,Automatic,Front,04,Left wheel,Silver,4,10036
0,TOYOTA,Prius,11,Hatchback,No,Hybrid,1.8,188800.0,4,Automatic,Front,04,Left wheel,Silver,8,14426
891,HYUNDAI,Sonata,5,Sedan,Yes,LPG,2.0,310064.0,4,Automatic,Front,04,Left wheel,White,4,16308
765,SUBARU,Impreza,6,Sedan,No,Petrol,2.0,96000.0,4,Tiptronic,4x4,04,Left wheel,White,12,10976
0,MERCEDES-BENZ,E 320,21,Sedan,Yes,CNG,3.2,192000.0,6,Tiptronic,4x4,04,Left wheel,Silver,6,9408
2469,HONDA,Elysion,17,Minivan,Yes,Petrol,3.0,0.0,4,Automatic,4x4,04,Left wheel,Black,1,20385
0,MERCEDES-BENZ,290,22,Microbus,No,Diesel,2.9,370000.0,6,Manual,Rear,04,Left wheel,White,0,11290
642,BMW,320,9,Sedan,Yes,Petrol,2.0,190000.0,4,Tiptronic,Rear,04,Left wheel,Sky blue,12,28852
810,VOLKSWAGEN,Passat,5,Sedan,Yes,Petrol,1.8,89525.0,4,Automatic,Front,04,Left wheel,White,12,1725
639,HYUNDAI,Santa FE,7,Jeep,Yes,Diesel,2.0,52197.0,4,Automatic,Front,04,Left wheel,Beige,4,24932
531,NISSAN,Juke,9,Jeep,No,Petrol,1.6,99000.0,4,Tiptronic,Front,04,Left wheel,Black,10,17249
382,CHEVROLET,Volt,4,Hatchback,Yes,Hybrid,1.5,102379.0,4,Automatic,Front,04,Left wheel,Blue,12,627
971,HYUNDAI,Santa FE,5,Jeep,Yes,Diesel,2.2,140552.0,4,Automatic,Front,04,Left wheel,White,4,51373
0,BMW,X5,7,Jeep,Yes,Petrol,4.4,0.0,8,Tiptronic,4x4,>5,Left wheel,Black,12,100355
765,HYUNDAI,Sonata,6,Sedan,Yes,LPG,2.0,553481.0,4,Automatic,Front,04,Left wheel,Orange,4,12544
1363,LEXUS,GX 460,9,Jeep,Yes,Petrol,4.6,229334.0,8,Automatic,4x4,04,Left wheel,Black,0,52059
0,NISSAN,Micra,17,Sedan,No,Petrol,1.2,248000.0,4,Manual,Front,02,Left wheel,Blue,7,7997
1598,MERCEDES-BENZ,ML 350,13,Jeep,Yes,Diesel,3.0,213998.0,6,Automatic,4x4,04,Left wheel,Silver,12,4547
751,KIA,Optima,8,Sedan,Yes,Petrol,2.4,130000.0,4,Tiptronic,Front,04,Left wheel,White,10,17562
1185,HYUNDAI,H1,12,Minivan,Yes,Diesel,2.5,74121.0,4,Automatic,Front,04,Left wheel,Black,4,15994
